Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,República de Moldova,MDA,38420,11460,12690,12450,11590,12220,12470,12670,12700,13180,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Mónaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Mongolia,MNG,30130,30050,35710,39140,41590,44130,45710,48090,50880,52620,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Montenegro,MNE,2580,2500,4030,3790,3660,3560,3650,3400,3520,3800,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Marruecos,MAR,39680,52470,82170,84440,85260,87050,89790,88660,93090,94290,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Mozambique,MOZ,19910,19650,27960,29190,30630,32470,32910,31910,32410,35040,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Myanmar,MMR,55400,73310,88990,92790,96110,101600,104970,109430,119660,119650,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Namibia,NAM,..,10810,17900,19490,12700,11970,12100,12840,12890,11930,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Nauru,NRU,130,90,50,50,50,60,60,70,70,80,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Nepal,NPL,21760,30330,39020,40940,41840,43860,43670,47070,49580,51240,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Países Bajos,NLD,203960,207110,188890,187110,186690,179380,188330,188160,184550,178640,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Nueva Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Nueva Zelandia,NZL,71050,77190,79400,81670,81240,81740,81690,80410,82060,81330,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Nicaragua,NIC,9960,12780,16390,16760,16980,17870,18840,19040,18960,19070,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Níger,NER,13350,20210,31290,33750,35580,37810,39610,41330,43050,45050,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Nigeria,NGA,201330,189750,253110,257540,271940,281650,277140,284340,291170,311450,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Macedonia del Norte,MKD,13980,11820,12690,12120,11240,10820,10560,10530,11010,10510,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Mariana,MNP,..,..,..,..,..,..,..,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Noruega,NOR,45950,47280,50120,48980,48060,48310,48580,47980,46920,47340,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Omán,OMN,14790,27100,58730,65340,68280,72070,76260,77840,78490,82300,..,..
