Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Emiratos Árabes Unidos,ARE,2450,3094.3,3173,3173,3173,3173,3173,3173,3173,3173,3173,3173
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Reino Unido,GBR,27780,29540,30782,30974,31166,31358,31550,31590,31640,31730,31820,31900
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Estados Unidos,USA,3024500,3035360,3089950,3092700,3095450,3098200,3100950,3100950,3097950,3097950,3097950,3097950
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Uruguay,URY,7980,13690,17690.4,18067.8,18445.2,18822.6,19200,19470,19680,19890,20100,20310
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Uzbekistán,UZB,30450,29614.61,33895.6,34295.2,34694.8,35094.4,35494,35863,36121.36,36379.8,36638.2,36896.6
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Vanuatu,VUT,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Venezuela,VEN,520260,491510,473406,471762,470118,468474,466830,465432.6,464281.8,463377.6,462720,462309
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Viet Nam,VNM,93759.6,117841,135228.2,136575.8,137923.4,139271,140618.6,143776.8,144153.9,144912.9,145671.9,146430.9
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Islas Vírgenes (EE.UU.),VIR,245.4,204.7,185.76,187.22,188.68,190.14,191.6,193.1,194.6,196.1,197.6,199.1
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Ribera Occidental y Gaza,PSE,90.7999992370605,90.8,91.7000007629395,91.7000007629395,91.7000007629395,91.7000007629395,101.4,101.4,101.4,101.4,101.4,101.4
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,"Yemen, Rep. del",YEM,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Zambia,ZMB,474120,470540,465078.2,463196.4,461314.6,459432.8,457551,455668,453786.7,451904.6,450022.4,448140.3
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Zimbabwe,ZWE,188266.8,183659.8,178592.1,178131.4,177670.7,177210,176749.3,176288.6,175827.9,175367.2,174906.5,174445.8
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from Database: Indicadores del desarrollo mundial,,,,,,,,,,,,,,,
Last Updated: 02/15/2022,,,,,,,,,,,,,,,
